ENDPOS2,0.625,Controller (right),5.333333,,ê¨å˜êî,ENDPOS1,ENDPOS2,ENDPOS3,ENDPOS4,ENDPOS5
ENDPOS4,0.5,ENDPOS4,7.566667,,90,3,3,1,3,0
ENDPOS1,0.625,Controller (right),10.18889,,,1.000s,0.875s,0.750s,0.625s,0.500s
ENDPOS4,1,Controller (right),15.5,,,0,1,0,1,8
ENDPOS1,1,Controller (right),19.34444,,,,,,,
ENDPOS1,0.5,Controller (right),22.36667,,,,,,,
ENDPOS1,0.875,ENDPOS1,25.92222,,,,,,,
ENDPOS4,0.75,Controller (right),28.94444,,,,,,,
ENDPOS1,1,Controller (right),34.01111,,,,,,,
ENDPOS4,1,Controller (right),38.88889,,,,,,,
ENDPOS5,0.75,Controller (right),41.97778,,,,,,,
ENDPOS5,0.625,Controller (right),44.82222,,,,,,,
ENDPOS5,0.625,Controller (right),49.7,,,,,,,
ENDPOS3,0.75,Controller (right),52.68889,,,,,,,
ENDPOS3,1,Controller (right),56.36667,,,,,,,
ENDPOS4,0.75,Controller (right),59.85556,,,,,,,
ENDPOS3,0.875,Controller (right),63.08889,,,,,,,
ENDPOS1,0.75,Controller (right),66.13333,,,,,,,
ENDPOS5,0.75,Controller (right),70.05556,,,,,,,
ENDPOS5,0.625,Controller (right),74.34444,,,,,,,
ENDPOS1,0.625,ENDPOS4,78.48889,,,,,,,
ENDPOS1,0.5,ENDPOS4,83.27778,,,,,,,
ENDPOS4,0.875,Controller (right),88.51112,,,,,,,
ENDPOS1,0.875,Controller (right),92.46667,,,,,,,
ENDPOS3,1,Controller (right),95.93333,,,,,,,
ENDPOS2,0.875,Controller (right),100.2333,,,,,,,
ENDPOS5,0.875,Controller (right),102.9778,,,,,,,
ENDPOS5,0.75,Controller (right),105.1778,,,,,,,
ENDPOS4,0.75,Controller (right),107.7333,,,,,,,
ENDPOS1,0.75,Controller (right),111.2444,,,,,,,
ENDPOS5,1,Controller (right),115.0222,,,,,,,
ENDPOS4,0.875,Controller (right),117.0222,,,,,,,
ENDPOS2,0.5,ENDPOS2,119.9,,,,,,,
ENDPOS1,0.5,Controller (right),122.7444,,,,,,,
ENDPOS3,1,Controller (right),125.8222,,,,,,,
ENDPOS4,1,Controller (right),129.4222,,,,,,,
ENDPOS2,1,Controller (right),133.9667,,,,,,,
ENDPOS4,0.625,Controller (right),137.4667,,,,,,,
ENDPOS4,0.875,Controller (right),139.7444,,,,,,,
ENDPOS1,0.875,Controller (right),143.0556,,,,,,,
ENDPOS3,0.625,Controller (right),145.6889,,,,,,,
ENDPOS2,0.5,ENDPOS2,149.6667,,,,,,,
ENDPOS3,0.875,Controller (right),152.7444,,,,,,,
ENDPOS3,0.625,Controller (right),155.1,,,,,,,
ENDPOS4,0.625,Controller (right),159.8,,,,,,,
