,0.8377118,0.5323466,0.6279718
,0.8376074,0.532467,0.6280447
,0.8376377,0.5323819,0.6280297
,0.8376787,0.5323987,0.6280153
,0.8377268,0.5324873,0.6279521
,0.8376458,0.5324093,0.6279073
,0.8376257,0.5324904,0.6279936
,0.8376675,0.5324466,0.6280119
,0.8377206,0.5324993,0.6280277
,0.8376591,0.5324978,0.627975
,0.8376718,0.5323528,0.6279982
,0.8376896,0.5324252,0.6279155
,0.8376138,0.5324548,0.6279734
,0.8376434,0.5324745,0.6279374
,0.8376203,0.5324978,0.6279323
,0.8375721,0.532477,0.6279615
,0.8376517,0.5325357,0.6279334
,0.8375924,0.5325298,0.627969
,0.83758,0.5325214,0.6279237
,0.8377075,0.53246,0.6280183
,0.8376815,0.5325502,0.6279982
,0.8376462,0.5325119,0.6279509
,0.8376391,0.532433,0.6279532
,0.8376968,0.532488,0.6280682
,0.8376613,0.5324597,0.6279815
,0.8375914,0.5324544,0.6280035
,0.8376567,0.5324445,0.6279879
,0.8376648,0.5323678,0.627936
,0.8376157,0.5324252,0.6280121
,0.8377378,0.5323857,0.6280061
,0.8376918,0.5324241,0.6280208
,0.8376529,0.5324703,0.6280611
,0.8376544,0.5323933,0.6280543
,0.8377798,0.5324318,0.6281295
,0.8377254,0.5323839,0.6280432
,0.8377328,0.5323908,0.6281008
,0.8377271,0.5324205,0.6280023
,0.8377213,0.5323818,0.6280501
,0.8376935,0.5323695,0.6279539
,0.8377151,0.5324512,0.6280589
,0.8376825,0.5324374,0.628062
,0.8376043,0.5324492,0.6279792
,0.8376906,0.5324099,0.6279765
,0.8377469,0.5323021,0.627998
,0.8377752,0.5323555,0.6280943
,0.8377459,0.5323777,0.6280661
,0.8376646,0.5324446,0.6279656
