,1.25,ENDPOS4,4.54
,1,ENDPOS2,7.92
,1,ENDPOS4,11.1
,1.75,ENDPOS4,15.1
,1,ENDPOS5,20.46
,1.75,ENDPOS3,24.68
,2,1.25,M_Ball 5(Clone),30.42
,M_Ball 2(Clone),30.42
,1,1.5,ENDPOS1,2.98
,1.75,ENDPOS1,6.96
,1.75,ENDPOS2,10.94
,1,ENDPOS4,13.56
,1.5,1.5,ENDPOS3,3.4
,1,ENDPOS1,8.5
,1.5,ENDPOS1,12.07778
,1.5,ENDPOS4,16.63333
,1,ENDPOS3,21.68889
,1,ENDPOS1,25.28889
,1.75,ENDPOS2,26.9
,1.25,ENDPOS5,32.11111
,2,ENDPOS4,35.74445
,1.25,ENDPOS3,40.67778
,1.75,ENDPOS5,43.16667
,1,ENDPOS2,46.82222
,1.75,ENDPOS2,49.38889
,2,ENDPOS3,52.23333
,1.5,ENDPOS2,56.06667
,1,ENDPOS3,60.38889
,1.75,ENDPOS4,4.8
,1.25,ENDPOS3,10.01111
,1.5,ENDPOS4,14.73333
,1.75,ENDPOS3,17.31111
,1.75,ENDPOS4,21.23333
,1.25,ENDPOS4,25.28889
,2,ENDPOS4,29.25556
,1.5,ENDPOS5,33.13334
,1.5,ENDPOS1,5.311111
,1,ENDPOS3,10.04445
,1.5,ENDPOS2,14.17778
,2,ENDPOS1,16.58889
,1.5,ENDPOS3,19.61111
,1,ENDPOS4,22.75556
,1.5,ENDPOS1,26.8
,1.25,ENDPOS3,31.02222
,1.25,ENDPOS4,33.14444
,1.75,ENDPOS1,36.98889
,1.75,ENDPOS3,41.56667
,1.5,ENDPOS1,44.06667
,2,ENDPOS5,48.14445
,2,ENDPOS3,50.6
,2,ENDPOS4,54.04445
,2,ENDPOS3,58.72223
,1.5,ENDPOS2,60.96667
,1.75,ENDPOS2,63.36667
,1.25,ENDPOS1,3.255556
,1.5,ENDPOS3,5.7
,2,ENDPOS1,8.233334
,1.5,ENDPOS2,11.33333
,1.5,ENDPOS4,15.54445
,1,ENDPOS1,19.2
,2,ENDPOS2,22.97778
,1.5,ENDPOS3,28.08889
