2,Controller (right),4.333333
1,Controller (right),8.422222
1.25,Controller (right),12.38889
1,Controller (right),15.31111
1,Controller (right),18.44444
1.5,Controller (right),21.22222
1.25,Controller (right),24.47778
1.25,Controller (right),28.18889
2,ENDPOS2,32.21111
1,Controller (right),37
1.25,Controller (right),41.37778
1.75,Controller (right),45.9
2,ENDPOS2,53.93333
1,Controller (right),57.33334
1,Controller (right),61.16667
1.75,ENDPOS4,63.34444
2,ENDPOS2,66.13333
1,Controller (right),69.95556
1.5,ENDPOS2,72.11111
1.25,Controller (right),75.42223
1,Controller (right),78.21111
2,Controller (right),80.87778
,Controller (right),81.84444
2,Controller (right),83.08889
1.75,Controller (right),86.66667
1.75,Controller (right),91.33334
1,Controller (right),96.65556
1.5,Controller (right),99.78889
2,Controller (right),102.9889
2,Controller (right),105.3667
1.5,ENDPOS2,110.3333
2,ENDPOS2,112.9333
1,Controller (right),115.8667
1.75,ENDPOS3,118.5222
1.5,ENDPOS4,123.3889
1.25,Controller (right),128.3
1,Controller (right),133.4333
1.25,Controller (right),135.4667
1,Controller (right),139.1333
1,Controller (right),141.4444
2,ENDPOS3,143.6333
1.75,Controller (right),146.0889
1.75,ENDPOS4,150.4889
1.75,Controller (right),154.4889
1.5,ENDPOS2,157.9556
2,Controller (right),161.1445
1.25,ENDPOS4,166.4111
1,Controller (right),171.0333
1.25,ENDPOS2,174.2667
2,Controller (right),178.7556
1.75,Controller (right),181.1111
1.25,Controller (right),184.1445
1.75,ENDPOS2,187.5778
1.25,Controller (right),191.9667
1.5,Controller (right),194.3889
1.25,ENDPOS4,197.9667
1,Controller (right),202.4111
1,Controller (right),204.8778
1.75,ENDPOS2,209.4778
1.5,ENDPOS3,214.2667
1.5,ENDPOS4,218.9556
1.25,ENDPOS4,221.4778
1.75,Controller (right),224.0111
1.25,Controller (right),227.5556
2,Controller (right),229.8
1,Controller (right),233.0667
2,ENDPOS2,236.0778
2,ENDPOS4,239.5778
1.25,Controller (right),244.0778
1.5,Controller (right),247.3
1.5,Controller (right),250.1333
1.75,Controller (right),252.1333
1.75,Controller (right),255.3222
1.5,ENDPOS4,258.6111
1,Controller (right),262.3
1.5,ENDPOS3,264.1555
1.25,Controller (right),268.6333
1.5,Controller (right),272.3667
2,ENDPOS3,274.5333
2,ENDPOS4,277.9778
1.25,Controller (right),280.4445
2,ENDPOS4,282.9889
1.25,Controller (right),285.8667
1.75,ENDPOS2,287.8
1.5,Controller (right),290.3778
1.5,ENDPOS4,293.1333
1.75,Controller (right),297.0445
1.5,Controller (right),299.6111
1.5,Controller (right),303.4556
1.75,Controller (right),306.0111
1.5,Controller (right),309.9889
2,ENDPOS4,313.1667
2,ENDPOS3,316.0222
1.75,ENDPOS4,318.1444
1.25,ENDPOS2,320.6111
1,Controller (right),324.2889
1,Controller (right),328.2667
1.25,Controller (right),332.1
1.75,ENDPOS4,334.6111
1.5,Controller (right),
