ENDPOS4 (UnityEngine.Transform),2,ENDPOS4,4.877778
ENDPOS5 (UnityEngine.Transform),2,ENDPOS5,8.155556
ENDPOS2 (UnityEngine.Transform),1.75,Controller (right),10.5
ENDPOS5 (UnityEngine.Transform),1,Controller (right),15.16667
ENDPOS2 (UnityEngine.Transform),1.25,Controller (right),18.42222
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),21.7
ENDPOS2 (UnityEngine.Transform),1.25,Controller (right),25.13333
ENDPOS5 (UnityEngine.Transform),1.25,Controller (right),28.74445
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),33.22222
ENDPOS1 (UnityEngine.Transform),1,Controller (right),36.74445
ENDPOS3 (UnityEngine.Transform),1.25,Controller (right),40.17778
ENDPOS4 (UnityEngine.Transform),1.5,ENDPOS4,42.55556
,Controller (right),42.55556
ENDPOS3 (UnityEngine.Transform),1,Controller (right),45.76667
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),48.32222
ENDPOS5 (UnityEngine.Transform),1,Controller (right),51.41111
ENDPOS1 (UnityEngine.Transform),1,Controller (right),54.1
ENDPOS5 (UnityEngine.Transform),1,Controller (right),56.32222
ENDPOS1 (UnityEngine.Transform),1.75,Controller (right),59.15556
ENDPOS5 (UnityEngine.Transform),1.5,Controller (right),62.57778
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,65.18889
ENDPOS1 (UnityEngine.Transform),1.25,Controller (right),69.66667
ENDPOS5 (UnityEngine.Transform),1.25,Controller (right),74.4
ENDPOS2 (UnityEngine.Transform),1.75,Controller (right),78.34444
ENDPOS2 (UnityEngine.Transform),1.75,Controller (right),83.16667
ENDPOS3 (UnityEngine.Transform),1.5,Controller (right),86.83334
ENDPOS2 (UnityEngine.Transform),1,Controller (right),91.04445
ENDPOS4 (UnityEngine.Transform),1.75,ENDPOS4,94.13334
,Controller (right),94.13334
ENDPOS3 (UnityEngine.Transform),1.75,Controller (right),98.05556
ENDPOS4 (UnityEngine.Transform),1.75,Controller (right),101.7667
,ENDPOS4,101.7667
ENDPOS3 (UnityEngine.Transform),1.25,Controller (right),105.5
ENDPOS2 (UnityEngine.Transform),1.75,ENDPOS2,108.2556
ENDPOS3 (UnityEngine.Transform),1.5,ENDPOS3,110.9889
ENDPOS1 (UnityEngine.Transform),2,Controller (right),115.0333
ENDPOS5 (UnityEngine.Transform),1.75,ENDPOS5,117.4667
ENDPOS3 (UnityEngine.Transform),1,Controller (right),119.9667
ENDPOS1 (UnityEngine.Transform),1,Controller (right),124.5222
ENDPOS2 (UnityEngine.Transform),1.5,Controller (right),128.3889
ENDPOS3 (UnityEngine.Transform),2,ENDPOS3,131.1556
ENDPOS1 (UnityEngine.Transform),1.75,Controller (right),135.4
ENDPOS2 (UnityEngine.Transform),2,ENDPOS2,139.2889
ENDPOS4 (UnityEngine.Transform),1,Controller (right),144.0333
ENDPOS2 (UnityEngine.Transform),1.5,Controller (right),147.9
